method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
LSTM_SAC,4,1,200,0.995,0.005,0.0,206.9424969865646,714.975,11.349666266441345,11.349666266441345,9.990928145814687,14.072366791368827,1004.8425130665995,0.9219749010144969,1.087718109752972
LSTM_SAC,4,2,200,0.985,0.015,0.0,201.790962588576,705.78,17.414300537109376,17.39007095336914,10.406421737670899,13.973890809917531,986.4402979491114,0.9428045486574299,1.0789975724680978
LSTM_SAC,4,3,200,0.945,0.055,0.0,182.53600675928882,700.63,48.655022149086,48.529461617469785,9.366720374319703,13.812611614979843,970.6446234993209,1.096417159710586,1.0942858501444084
LSTM_SAC,4,4,200,1.0,0.0,0.0,210.31613793042922,712.785,9.921546387672425,9.921546387672425,10.804189474582673,14.070068398908028,1001.9437625005904,0.9252603810586993,1.0810235073364038
LSTM_SAC,4,42,200,1.0,0.0,0.0,209.65741979606864,714.01,9.928206667900085,9.928206667900085,12.828794112205506,14.07391175638749,1003.8205032877793,0.9289463172589032,1.076929393803112
LSTM_SAC,5,1,200,0.715,0.235,0.05,105.16446356460158,1002.095,44.507276706695556,14.92515516281128,5.363029478192329,13.26103191211879,1208.2340038286106,0.8247929087503593,1.0905425543952019
LSTM_SAC,5,2,200,0.77,0.205,0.025,124.63330452927435,911.54,36.89287483692169,11.479932408332825,7.633696053028107,13.818192009473714,1151.6301479409576,0.8553229181089718,1.067248135754469
LSTM_SAC,5,3,200,0.735,0.165,0.1,112.4763025109378,990.765,49.170596165657045,22.919622836112975,5.4869528574496504,13.279523054269474,1192.8780553727265,0.8705868794041257,1.0894803964806774
LSTM_SAC,5,4,200,0.715,0.25,0.035,103.97235066675144,992.475,43.2938103723526,12.38585409641266,6.4351969802379605,13.363249464145191,1204.170098725711,0.8258268924492747,1.083391968660991
LSTM_SAC,5,42,200,0.735,0.215,0.05,111.4604598694586,951.765,40.41880650520325,12.480090718269349,7.260552446842194,13.512381167230645,1170.9601930675979,0.8409609708842108,1.076855002269189
PPO,4,1,200,0.0,0.165,0.835,-135.74943152663369,2013.5,782.7349977874755,759.2391845703125,9.367981098669407,6.843939304403903,1373.83189530327,0.9007982898384754,nan
PPO,4,2,200,0.0,0.08,0.92,-111.28112890305088,2129.505,785.595735168457,742.1213804626465,14.757541418515611,6.861891055474531,1458.560294751161,0.6489997949979092,nan
PPO,4,3,200,0.0,0.255,0.745,-161.17281453888026,1939.755,797.0829040527344,756.5603276824951,8.663057739003706,6.88040315860776,1330.2267998323641,0.799329754445403,nan
PPO,4,4,200,0.0,0.195,0.805,-140.4801023897171,1986.265,771.7755773544311,733.1954775619507,10.247088278834708,6.893854634544218,1365.584075293538,0.7643859899554716,nan
PPO,4,42,200,0.0,0.14,0.86,-123.29351058878026,2024.455,807.2946579742431,752.621686782837,13.017721480526962,6.896179089764002,1392.305800409231,0.7529636867322475,nan
PPO,5,1,200,0.0,1.0,0.0,-209.63099366196303,70.26,933.8101327514648,920.0160147094726,0.00889678716659546,9.595637590033418,66.9409814883682,14.099195645837264,nan
PPO,5,2,200,0.0,1.0,0.0,-200.51047964778806,175.815,901.5240731811523,890.8476196289063,0.00727359414100647,9.002060106655142,102.59645203876661,11.9726008275207,nan
PPO,5,3,200,0.0,1.0,0.0,-205.39371839728506,102.54,919.0017053222656,907.5992498779297,0.00937703013420105,9.248493937772803,75.90228502853611,13.71776367711691,nan
PPO,5,4,200,0.0,1.0,0.0,-206.65529625132854,75.6,932.9087240600586,919.0871234130859,0.010599513053894043,9.622499823974797,68.89169404833368,13.801611553584205,nan
PPO,5,42,200,0.0,1.0,0.0,-204.060202773194,119.215,913.9686212158203,899.5079565429687,0.008130645751953125,9.454980940604706,86.16553388967472,12.666051214080477,nan
SAC_Large,4,1,200,0.99,0.0,0.01,228.83546676152363,1055.865,10.022569675445556,9.97458493232727,7.537794771194458,15.223130532028742,1599.5488983825314,0.5810963675623199,1.7225299612762885
SAC_Large,4,2,200,0.995,0.0,0.005,233.85939276242829,1052.735,10.004848566055298,9.977777528762818,7.362176755666733,15.384286762295039,1616.4617755836316,0.5719775353304004,1.7505358809271465
SAC_Large,4,3,200,0.995,0.0,0.005,231.74393676930669,1049.265,9.996886458396911,9.977194294929504,7.656525783464312,15.324081620454995,1603.1348408073684,0.5787440523019715,1.730775135465722
SAC_Large,4,4,200,0.985,0.005,0.01,228.304189150825,1063.545,13.317776751518249,13.24460177898407,7.239262795448303,15.317493160300812,1621.9038651326844,0.5776976262778457,1.7488719059697353
SAC_Large,4,42,200,0.965,0.005,0.03,226.32057992970675,1083.17,14.393167071342468,14.317336988449096,9.165719652175904,15.203935322713782,1629.5449592052728,0.5969315418825908,1.7323390980366349
SAC_Large,5,1,200,0.975,0.005,0.02,210.60156040513016,834.285,12.46364697933197,12.27297441482544,19.274551036693154,13.828115343843445,1117.7184806117236,0.8336537125188975,1.200705327913397
SAC_Large,5,2,200,0.99,0.005,0.005,215.00455439180888,781.12,10.159057273864747,9.975671172142029,24.65477341324091,14.255606248222739,1106.54634627891,0.837819021619851,1.1923890041385177
SAC_Large,5,3,200,0.95,0.005,0.045,204.65817481224104,888.785,17.650948119163512,17.452185111045836,20.48104852318764,13.572839210781247,1139.6304400002748,0.8184869974308507,1.2255481218221767
SAC_Large,5,4,200,0.99,0.0,0.01,216.37123192285773,799.67,9.970921726226807,9.961828827857971,24.04983387708664,14.142566264475683,1115.2321763538484,0.8344019797572444,1.196383503962908
SAC_Large,5,42,200,0.985,0.005,0.01,212.25306527091448,843.245,12.633295893669128,12.520135135650635,20.726385379098357,13.759267817410969,1114.8104024679012,0.8311310336607113,1.2068879618929187
sac,4,1,200,0.98,0.0,0.02,213.78631389018392,851.04,17.8041770362854,17.60942647457123,17.18110113501549,14.381719386341747,1197.9398621702387,0.7747434769935491,1.292632188074115
sac,4,2,200,0.985,0.01,0.005,219.48635892900148,824.88,16.53871870994568,16.516168484687807,23.11385310769081,14.619743167511816,1199.0672684288045,0.7815351032530823,1.3085139238809513
sac,4,3,200,0.915,0.03,0.055,180.62155534519133,929.235,62.55874071121216,61.75026471614838,17.716825337037445,13.799259613268113,1209.4613923411496,0.8227119101104097,1.3270201664337555
sac,4,4,200,0.995,0.005,0.0,223.2629271857652,822.035,13.75082929611206,13.75082929611206,21.180330488681793,14.67715570042428,1205.103773223945,0.7803989612074923,1.3053259201377063
sac,4,42,200,0.995,0.0,0.005,224.7748705019321,846.145,9.949075980186462,9.928511095046996,24.35099175453186,14.607045871443415,1223.9111612370318,0.7631705150686359,1.31143752062388
sac,5,1,200,0.95,0.015,0.035,208.52082104945674,858.14,14.38773865699768,13.577084879875184,20.027357611125336,14.495770503152235,1210.2308497626818,0.7798356630632695,1.2877767770253103
sac,5,2,200,0.98,0.005,0.015,217.36803097045504,823.425,10.410947184562684,9.991702327728271,32.36211510173976,14.660926201769323,1190.0318228776098,0.7802637832013685,1.2762444834280242
sac,5,3,200,0.93,0.015,0.055,202.97235342343433,882.6,18.530943899154664,17.173864488601684,24.336683027110993,14.307859186452806,1210.351723812776,0.7960375132028195,1.2841674253169435
sac,5,4,200,0.96,0.015,0.025,211.1826365987403,843.63,11.008302903175354,10.096482501029968,30.892176110651345,14.600398145544316,1207.135829689538,0.773898264162206,1.281125927572522
sac,5,42,200,0.905,0.04,0.055,189.98874177139234,869.71,27.46025122642517,26.148297538757323,23.14596567524364,14.281183082995733,1190.2734705108448,0.9044573797694088,1.2794825478502172
td3,4,1,200,0.23,0.0,0.77,46.28273294514234,2086.5,31.809616746902467,24.419147872924803,3.8924427795410157,8.015756476624881,1656.1554229786102,0.5651824264311851,1.644038299119261
td3,4,2,200,0.265,0.005,0.73,55.66278188086527,2066.24,29.890524473190307,22.829842314720153,3.76163350045681,8.194506097175285,1675.6848286867503,0.5540013034595096,1.6790260607100467
td3,4,3,200,0.21,0.0,0.79,38.844040768951054,2109.435,41.83157306671143,35.410098457336424,3.344444098472595,7.846023612545265,1638.7316440500203,0.5691607420087843,1.6726451002628873
td3,4,4,200,0.22,0.0,0.78,46.812250865817816,2093.025,26.684227662086485,18.933770246505738,3.9531922829151154,8.1426227542485,1686.8908827866492,0.5517450473346484,1.6800177403703158
td3,4,42,200,0.28,0.0,0.72,60.665852290578826,2074.035,27.389043402671813,20.82063238620758,3.55813374504447,8.15065631467913,1674.5339341817366,0.5600063822488258,1.671322428532362
td3,5,1,200,0.945,0.0,0.055,212.65336196374366,986.49,30.138418369293213,29.636600947380067,16.197961908727883,13.793687826513585,1293.521665690242,0.7413911576721989,1.4037742458054798
td3,5,2,200,0.95,0.0,0.05,213.29871455053637,948.04,13.994841523170471,13.124266629219056,24.576832716464995,14.2904925848496,1303.0053416376109,0.7140625524308639,1.3930296905006685
td3,5,3,200,0.91,0.0,0.09,202.33446438002426,1040.735,54.077592525482174,53.43997470378876,16.797828605175017,13.348120360136768,1263.7295725733998,0.7641974690055819,1.4093013507068821
td3,5,4,200,0.955,0.0,0.045,216.22154547241837,959.435,18.444794549942017,17.880617179870605,22.48764746427536,14.200704829589997,1304.8045476870293,0.7195692280771704,1.4024678226156078
td3,5,42,200,0.955,0.0,0.045,216.72306157063625,960.765,10.723763637542724,10.0731254196167,21.184149079322815,14.025862993640722,1297.2313471245768,0.7144690866312383,1.389200533277635
