method,model_seed,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
SAC,5,mild_noise,noise_curve,20,0.9,0.05,0.05,190.5993542601954,878.2,52.28484554290772,50.88170790672302,23.39462537765503,14.228756354421813,1195.6682607563862,1.0718422117674462,1.3025700966591538
SAC,5,mild_noise_latency_30ms,combined,20,0.95,0.0,0.05,204.7711630213924,921.55,10.933235788345337,10.007697200775146,23.063281178474426,14.083868646284994,1248.3029310968077,0.7607468275897504,1.296151337183724
SAC,5,moderate_noise,noise_curve,20,0.95,0.05,0.0,202.76631390459661,796.65,50.716454648971556,50.716454648971556,22.91879050731659,14.581824968471683,1153.8154954461422,1.0886420607435086,1.286553883019979
SAC,5,moderate_noise_latency_50ms,combined,20,0.95,0.05,0.0,199.41011305843003,780.05,50.33977489471435,50.33977489471435,23.698244786262514,14.560899941868835,1138.5128150691694,1.0758669440813535,1.2696054962420897
TD3,1,clean,clean,20,0.45,0.0,0.55,62.088345293476735,1685.2,14.423827886581421,12.307117080688476,5.644254505634308,9.34640698475761,1344.1643334671148,0.7059122569884927,1.2343459521444768
TD3,1,latency_10ms,latency_curve,20,0.45,0.1,0.45,48.38246146257967,1439.95,59.46409158706665,57.737357234954835,5.218880701437593,10.810300314179605,1333.8023141246817,0.8091971618762731,1.232663490096953
TD3,1,latency_30ms,latency_curve,20,0.4,0.1,0.5,36.360592301791804,1503.6,59.31143708229065,57.54765019416809,5.218884325399995,10.578765428315574,1358.6219368032193,0.7968481017449787,1.2325484353941722
TD3,1,latency_50ms,latency_curve,20,0.35,0.1,0.55,24.298322426932543,1509.45,60.089775228500365,58.00891995429993,5.218882428668439,10.594334091271069,1358.1619227551428,0.7983493833811387,1.1503050576507712
TD3,1,mild_noise,noise_curve,20,0.5,0.0,0.5,73.44555206719593,1571.75,14.04787311553955,12.067227745056153,5.865621829032898,9.987649565882172,1316.0575958701706,0.7227496171921803,1.2239153070192095
TD3,1,mild_noise_latency_30ms,combined,20,0.65,0.0,0.35,111.68562810391407,1425.9,12.221814584732055,11.351621913909913,6.1804064273834225,11.040206477232008,1367.6547693083444,0.711258276520451,1.2813386717259954
TD3,1,moderate_noise,noise_curve,20,0.5,0.0,0.5,75.02071329523218,1612.9,13.525182104110717,12.07409439086914,5.604230695217848,9.71876143003666,1326.1776413261373,0.7173585112667127,1.2368187491801743
TD3,1,moderate_noise_latency_50ms,combined,20,0.45,0.0,0.55,58.94786710120568,1632.15,14.72461290359497,11.855131101608276,5.621339511871338,10.173839257624312,1453.3630180253383,0.671143543116868,1.2255207081262718
TD3,2,clean,clean,20,0.7,0.05,0.25,144.54306086194273,1332.5,17.402010345458983,14.716523027420044,4.487074136734009,11.445136000732955,1460.4030502507128,0.6686165029176344,1.355678369626567
TD3,2,latency_10ms,latency_curve,20,0.95,0.0,0.05,206.44546875808888,1151.3,10.388987731933593,10.054687929153442,3.7240997314453126,11.77716838839157,1325.6235975769155,0.7102076457720289,1.3851342771216775
TD3,2,latency_30ms,latency_curve,20,0.95,0.0,0.05,206.42481342010828,1156.95,10.546249675750733,10.051812553405762,3.72412052154541,11.765633184693645,1328.6977731716238,0.7091354334809801,1.3883821801532092
TD3,2,latency_50ms,latency_curve,20,0.95,0.0,0.05,206.4210815361986,1152.4,10.544991540908814,10.054534292221069,3.7241212844848635,11.774252428292218,1326.0873711404645,0.7100450442117994,1.3856155473259804
TD3,2,mild_noise,noise_curve,20,0.7,0.0,0.3,149.3182064311519,1447.85,13.176472902297974,10.50150146484375,4.563546824455261,11.048851924711027,1530.9308213240474,0.6371050080549678,1.4011491870489763
TD3,2,mild_noise_latency_30ms,combined,20,0.85,0.0,0.15,172.29095060005582,1248.8,11.197913026809692,10.05375270843506,3.3332910537719727,11.538031451210264,1394.8121324127133,0.6849502805609682,1.385316436589294
TD3,2,moderate_noise,noise_curve,20,0.85,0.0,0.15,187.40461030365447,1275.15,11.444034767150878,10.319196557998657,4.30066604167223,11.45711519019274,1412.2680732050549,0.6787230113130532,1.4014464798938293
TD3,2,moderate_noise_latency_50ms,combined,20,0.85,0.05,0.1,175.42515758316554,1258.95,17.83039255142212,16.632627773284913,3.8530305862426757,11.481069164878074,1398.4775317686308,0.6844713284523498,1.4221776989729042
TD3,3,clean,clean,20,0.85,0.15,0.0,149.45721670211566,999.7,28.52969002723694,11.013639116287232,3.812805652618408,13.371870432052571,1289.6991135878766,0.7351260778818629,1.284723243150481
TD3,3,latency_10ms,latency_curve,20,0.9,0.1,0.0,159.34119679857915,953.65,22.263132429122926,11.053268194198608,4.098404765129089,13.44535380972943,1249.2009287084697,0.750049701560811,1.2875715635434994
TD3,3,latency_30ms,latency_curve,20,0.9,0.1,0.0,159.23289648111344,954.3,22.297167682647704,11.05508918762207,4.101127314567566,13.443662081186725,1249.9776226033555,0.7497726143765533,1.2879260187372172
TD3,3,latency_50ms,latency_curve,20,0.9,0.1,0.0,162.19303656126527,952.95,22.260712146759033,11.059428310394287,4.099793219566346,13.44440499905134,1248.5586016611894,0.7501448751327644,1.2878425749842441
TD3,3,mild_noise,noise_curve,20,0.85,0.15,0.0,154.70213378911018,1010.9,28.265841007232666,10.881979370117188,4.559479975700379,13.315062813097649,1295.8752313843993,0.7340638734728518,1.2836045940063252
TD3,3,mild_noise_latency_30ms,combined,20,0.85,0.15,0.0,141.0204834582366,1016.0,28.303004932403564,11.15547971725464,4.407108497619629,13.169975014933192,1293.6514270815856,0.731681859774717,1.2929128138481556
TD3,3,moderate_noise,noise_curve,20,0.7,0.3,0.0,87.29553058977237,1192.0,47.06966733932495,11.500278568267822,3.699822783470154,12.497766602523454,1415.7173224962407,0.6842309317471577,1.293067050324811
TD3,3,moderate_noise_latency_50ms,combined,20,0.75,0.25,0.0,106.56925752547576,1085.75,43.89917411804199,20.66168818473816,3.708566427230835,12.684967534866583,1326.7666610942224,0.7202838554203318,1.2964338793880585
TD3,4,clean,clean,20,0.15,0.0,0.85,22.748851135784985,2118.8,29.83590030670166,21.50103602409363,3.3513906002044678,8.04972415350193,1688.6774644150887,0.546999245632997,1.6990569273790905
TD3,4,latency_10ms,latency_curve,20,0.15,0.0,0.85,25.086266557965327,2130.0,29.520094633102417,20.30361270904541,2.7470808029174805,8.129621016719778,1719.4787491642085,0.5358295556577419,1.7459400224840345
TD3,4,latency_30ms,latency_curve,20,0.1,0.0,0.9,13.081320372536329,2167.4,41.47346720695496,31.598182964324952,3.0781455516815184,8.002928881152416,1727.2581647694012,0.5332207496888915,1.8270492349820922
TD3,4,latency_50ms,latency_curve,20,0.1,0.0,0.9,9.51118719388155,2154.05,26.792259407043456,17.54164776802063,2.769384264945984,8.099471192304728,1735.9571211871357,0.5300654988722159,1.7552914960004435
TD3,4,mild_noise,noise_curve,20,0.2,0.0,0.8,35.54745508336772,2091.6,23.340182638168336,15.711159038543702,2.65634229183197,8.218519099525604,1701.1562802194458,0.5417806939133156,1.7124220597231894
TD3,4,mild_noise_latency_30ms,combined,20,0.15,0.0,0.85,20.58669836755859,2126.55,25.074627780914305,15.670072889328003,2.804410767555237,8.145245268409832,1720.3069051223988,0.5347500401983943,1.7399673610028568
TD3,4,moderate_noise,noise_curve,20,0.15,0.0,0.85,14.481867888304574,2127.8,32.442802381515506,23.15918231010437,2.6447201177477835,7.980795634414345,1683.1684930981305,0.5480950185860909,1.713494683510019
TD3,4,moderate_noise_latency_50ms,combined,20,0.1,0.0,0.9,5.361371663445617,2154.85,33.023732614517215,24.012748956680298,2.8325329780578614,7.92708436459918,1698.7875185409666,0.5420766969410203,1.736208814549718
TD3,5,clean,clean,20,1.0,0.0,0.0,228.76511183245975,898.4,9.9515869140625,9.9515869140625,20.36942300796509,14.499662655949118,1300.3994236483907,0.7219484325712812,1.385766289081279
TD3,5,latency_10ms,latency_curve,20,0.95,0.0,0.05,215.33058033831094,963.9,10.849499940872192,10.024819993972779,20.94573047161102,14.096599905560117,1311.3471750153988,0.7167651518375503,1.3858765380378046
TD3,5,latency_30ms,latency_curve,20,0.95,0.0,0.05,215.33224444655465,963.9,10.819094848632812,10.02480902671814,20.8860111951828,14.094458821612713,1310.8691746888826,0.716957573342705,1.3858763600270207
TD3,5,latency_50ms,latency_curve,20,0.95,0.0,0.05,215.33243194595008,963.9,10.812446117401123,10.024972677230835,20.987212538719177,14.098464318268551,1311.7805828220496,0.7165927706397951,1.385876349747033
TD3,5,mild_noise,noise_curve,20,1.0,0.0,0.0,228.24805160339514,897.75,9.95536379814148,9.95536379814148,20.115996527671815,14.481351340140225,1297.4559643062973,0.7234835713143589,1.3827638952460681
TD3,5,mild_noise_latency_30ms,combined,20,0.95,0.0,0.05,214.90803485787546,963.55,10.867495346069337,10.037603902816773,20.841081988811492,14.074386420718287,1307.8595529161753,0.7186277163287225,1.38294279984148
TD3,5,moderate_noise,noise_curve,20,0.95,0.0,0.05,216.1538893786356,981.0,10.304644536972045,10.050616025924683,20.28289189338684,13.897694274677614,1305.0523663406834,0.7198158466338399,1.3838306522141306
TD3,5,moderate_noise_latency_50ms,combined,20,0.95,0.0,0.05,215.52274080985254,951.3,10.782299661636353,10.088526725769043,21.86130335330963,14.13787239066188,1296.7898785691903,0.7248320707299175,1.3711118491655294
HW_GA_SAC,1,clean,clean,50,0.92,0.0,0.08,215.8731106037402,1134.86,43.37476503372192,42.23940715789795,16.842646527290345,14.252466657408458,1542.5518415569873,0.6051417908433631,1.6743727954216554
HW_GA_SAC,1,latency_10ms,latency_curve,50,0.9,0.0,0.1,216.99937156137355,1153.96,26.444602375030517,25.558533267974852,17.419955282211305,14.261976497131457,1575.909304311498,0.591835234378607,1.6763484172591854
HW_GA_SAC,1,latency_30ms,latency_curve,50,0.9,0.0,0.1,216.87810507585243,1157.46,26.477088966369628,25.56003932952881,17.416370306015015,14.250311817670303,1577.6874502704002,0.5911344072020895,1.6781278022236445
HW_GA_SAC,1,latency_50ms,latency_curve,50,0.92,0.0,0.08,223.81720174576773,1146.5,10.653961391448975,10.027290859222411,17.46000102996826,14.364450517252767,1591.423472093227,0.5844496089331019,1.6846700153899803
HW_GA_SAC,1,mild_noise,noise_curve,50,0.92,0.0,0.08,218.11255999694106,1119.22,43.1916516494751,42.24956829071045,16.943597154617308,14.349996076327198,1535.9682156790773,0.6079833734425789,1.6675616192725622
HW_GA_SAC,1,mild_noise_latency_30ms,combined,50,0.88,0.02,0.1,205.3923602659193,1124.1,60.535482521057126,59.33594135284424,17.17953868865967,14.174604839639073,1522.3059612040317,0.7475621042003,1.672427481891598
HW_GA_SAC,1,moderate_noise,noise_curve,50,0.9,0.0,0.1,213.85571543315464,1140.98,38.90577011108398,38.31987268447876,16.894222848415374,14.243000885328497,1545.717764934473,0.6044301668156127,1.665901598185874
HW_GA_SAC,1,moderate_noise_latency_50ms,combined,50,0.9,0.0,0.1,215.7294785700951,1153.82,28.92785997390747,27.87852024078369,17.16236020088196,14.211717651495963,1564.488404842789,0.5966863083815618,1.6711835721145059
HW_GA_SAC,2,clean,clean,50,0.96,0.02,0.02,204.52703206183205,984.2,14.629536895751952,14.228703022003174,5.359323930740357,13.750541541092266,1342.9866980144714,0.6961354413756564,1.4395263729026118
HW_GA_SAC,2,latency_10ms,latency_curve,50,1.0,0.0,0.0,213.51416717046516,967.22,9.895577487945557,9.895577487945557,5.261003992911428,13.776924708849208,1331.191389346677,0.6979425011978457,1.4367467769551423
