method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
LSTM_SAC,2,4,200,0.99,0.005,0.005,206.49500677212248,714.545,13.72501585006714,13.72501585006714,20.84608648814261,14.590218496876538,1036.7404009087757,1.1205951096920717,1.120997815224885
LSTM_SAC,2,42,200,0.955,0.025,0.02,180.76195892772768,732.865,28.685811371803283,28.685811371803283,12.894505426897668,14.34717162547069,1034.5553449456486,1.1212122693134774,1.127457568813619
LSTM_SAC,3,1,200,1.0,0.0,0.0,248.61574912698342,1351.605,9.952762985229493,9.952762985229493,8.633113250732421,11.052290580057036,1493.3826295561717,1.6234736399499612,1.6234736399499612
LSTM_SAC,3,2,200,1.0,0.0,0.0,250.262599641069,1390.085,9.955217118263244,9.955217118263244,10.972821741104125,11.13788642161781,1547.6730712317117,1.6764156795502276,1.6764156795502276
LSTM_SAC,3,3,200,1.0,0.0,0.0,245.7969792921568,1364.085,9.951520609855653,9.951520609855653,10.417941816300154,11.049258515797892,1506.5471685869807,1.6250757720884277,1.6250757720884277
LSTM_SAC,3,4,200,1.0,0.0,0.0,249.91092958913387,1385.78,9.954173736572265,9.954173736572265,10.542564377784728,11.097023021191962,1537.0873941842233,1.6632038100542383,1.6632038100542383
LSTM_SAC,3,42,200,0.98,0.015,0.005,238.22120604376514,1365.365,25.25188551902771,25.25188551902771,10.537718284130097,11.055779346875712,1508.9886891406518,1.637986488213375,1.6608500837534754
LSTM_SAC,4,1,200,0.995,0.005,0.0,206.94249698656466,714.975,11.349666266441345,11.349666266441345,9.990928145814687,14.072366791368827,1004.8425130665997,0.921974901014497,1.0877181097529725
LSTM_SAC,4,2,200,0.985,0.015,0.0,201.79096258857606,705.78,17.414300537109376,17.39007095336914,10.406421737670899,13.973890809917535,986.4402979491122,0.9428045486574296,1.0789975724680982
LSTM_SAC,4,3,200,0.945,0.055,0.0,182.53600675928877,700.63,48.655022149086,48.529461617469785,9.366720374319703,13.812611614979849,970.6446234993209,1.096417159710586,1.0942858501444084
LSTM_SAC,4,4,200,1.0,0.0,0.0,210.31613793042916,712.785,9.921546387672425,9.921546387672425,10.804189474582673,14.070068398908017,1001.9437625005895,0.9252603810586987,1.0810235073364047
LSTM_SAC,4,42,200,1.0,0.0,0.0,209.65741979606878,714.01,9.928206667900085,9.928206667900085,12.828794112205506,14.073911756387496,1003.8205032877794,0.9289463172589031,1.076929393803112
LSTM_SAC,5,1,200,0.715,0.235,0.05,105.1644635646015,1002.095,44.507276706695556,14.92515516281128,5.363029478192329,13.261031912118783,1208.234003828611,0.8247929087503588,1.0905425543952014
LSTM_SAC,5,2,200,0.77,0.205,0.025,124.6333045292744,911.54,36.89287483692169,11.479932408332825,7.633696053028107,13.818192009473703,1151.6301479409574,0.8553229181089722,1.0672481357544696
LSTM_SAC,5,3,200,0.735,0.165,0.1,112.47630251093778,990.765,49.170596165657045,22.919622836112975,5.4869528574496504,13.27952305426947,1192.8780553727267,0.8705868794041258,1.089480396480678
LSTM_SAC,5,4,200,0.715,0.25,0.035,103.97235066675147,992.475,43.2938103723526,12.38585409641266,6.4351969802379605,13.363249464145191,1204.1700987257111,0.8258268924492742,1.083391968660991
LSTM_SAC,5,42,200,0.735,0.215,0.05,111.4604598694586,951.765,40.41880650520325,12.480090718269349,7.260552446842194,13.512381167230636,1170.9601930675985,0.8409609708842105,1.0768550022691887
PPO,1,1,200,0.15,0.73,0.12,-171.0850232694048,949.785,255.68392545223236,255.16463069915773,0.8762016812805087,11.528231405608398,1035.998606766825,2.7706554590193715,1.871015232240436
PPO,1,2,200,0.195,0.68,0.125,-153.1600719900979,1158.165,118.4521990442276,117.93477037906646,0.8680221967096441,11.269973725117943,1246.0726824558221,0.8816052428522941,1.957270876239217
PPO,1,3,200,0.11,0.76,0.13,-189.05452920187366,1008.425,183.92749348640442,183.1693621301651,0.49356641303747895,11.533003759530676,1104.0147433801053,1.2772193769750146,1.7723976159025705
PPO,1,4,200,0.12,0.76,0.12,-188.76060591530052,1033.39,147.9031144762039,147.34676233768462,0.5935323535859789,11.576472804799657,1137.2616871658706,1.2295016215065244,1.9263349240573742
PPO,1,42,200,0.175,0.665,0.16,-153.39162507650835,1165.135,120.10541253089905,119.48212966918945,1.3818832548853244,11.343404916433187,1255.016049408251,0.915215152083967,1.9158215687836657
